content,place,year,month,content_token,negative,neutral,positive,compound,comp_score
one car year nothing using electricity write dumb tweets cars atleast tweets causing headache ppl,africa,2022,August,"['one', 'car', 'year', 'nothing', 'using', 'electricity', 'write', 'dumb', 'tweets', 'cars', 'atleast', 'tweets', 'causing', 'headache', 'ppl']",0.191,0.809,0.0,-0.5106,negative
stopppppp stop ittttttt,africa,2022,August,"['stopppppp', 'stop', 'ittttttt']",0.524,0.476,0.0,-0.296,neutral
need stop grow become old man working bodega full cats,africa,2022,August,"['need', 'stop', 'grow', 'become', 'old', 'man', 'working', 'bodega', 'full', 'cats']",0.196,0.804,0.0,-0.296,neutral
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']",0.12,0.437,0.443,0.8779,positive
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']",0.12,0.437,0.443,0.8779,positive
last hiked rwenzoris guide told looking open rocks years back covered snow led snow started reducing rapidly mean great mountain,africa,2022,August,"['last', 'hiked', 'rwenzoris', 'guide', 'told', 'looking', 'open', 'rocks', 'years', 'back', 'covered', 'snow', 'led', 'snow', 'started', 'reducing', 'rapidly', 'mean', 'great', 'mountain']",0.0,0.823,0.177,0.6249,positive
anyone else think strange suspicious new campaign nato going lots really bad strange weather related disasters happening globe weather manipulation,africa,2022,August,"['anyone', 'else', 'think', 'strange', 'suspicious', 'new', 'campaign', 'nato', 'going', 'lots', 'really', 'bad', 'strange', 'weather', 'related', 'disasters', 'happening', 'globe', 'weather', 'manipulation']",0.529,0.471,0.0,-0.9286,negative
wan dey cause,africa,2022,August,"['wan', 'dey', 'cause']",0.0,1.0,0.0,0.0,neutral
also cited another factor heavy downpour experienced august points impact consequence,africa,2022,August,"['also', 'cited', 'another', 'factor', 'heavy', 'downpour', 'experienced', 'august', 'points', 'impact', 'consequence']",0.0,1.0,0.0,0.0,neutral
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']",0.12,0.437,0.443,0.8779,positive
