content,place,year,month,content_token,negative,neutral,positive,compound,comp_score
districts continue affected massive unprecedented levels warns significant threats,India,2022,August,"['districts', 'continue', 'affected', 'massive', 'unprecedented', 'levels', 'warns', 'significant', 'threats']",0.46,0.397,0.143,-0.4588,negative
happiest birthday jeon freakin man cause,India,2022,August,"['happiest', 'birthday', 'jeon', 'freakin', 'man', 'cause']",0.0,0.543,0.457,0.6369,positive
money support developing countries cope adversarial effects moral obligation,India,2022,August,"['money', 'support', 'developing', 'countries', 'cope', 'adversarial', 'effects', 'moral', 'obligation']",0.205,0.574,0.221,0.0516,neutral
volunteer visit,India,2022,August,"['volunteer', 'visit']",0.0,1.0,0.0,0.0,neutral
science religion created people religion atrocities without seen narrative manmade perfect storm demons dangers,India,2022,August,"['science', 'religion', 'created', 'people', 'religion', 'atrocities', 'without', 'seen', 'narrative', 'manmade', 'perfect', 'storm', 'demons', 'dangers']",0.161,0.553,0.286,0.3612,positive
akshat think better things like,India,2022,August,"['akshat', 'think', 'better', 'things', 'like']",0.0,0.357,0.643,0.6597,positive
gonna screw drought china heat waves across europe floods south asia escape,India,2022,August,"['gon', 'na', 'screw', 'drought', 'china', 'heat', 'waves', 'across', 'europe', 'floods', 'south', 'asia', 'escape']",0.107,0.763,0.13,0.0772,neutral
volunteer visit,India,2022,August,"['volunteer', 'visit']",0.0,1.0,0.0,0.0,neutral
read little science geography would never talked nonsense things talk like mullah maulavi result due disrespect godesses,India,2022,August,"['read', 'little', 'science', 'geography', 'would', 'never', 'talked', 'nonsense', 'things', 'talk', 'like', 'mullah', 'maulavi', 'result', 'due', 'disrespect', 'godesses']",0.13,0.649,0.221,0.2401,neutral
matter problem whole world birth day poojay guru tricks planted world environment protected polluted honey,India,2022,August,"['matter', 'problem', 'whole', 'world', 'birth', 'day', 'poojay', 'guru', 'tricks', 'planted', 'world', 'environment', 'protected', 'polluted', 'honey']",0.34,0.472,0.189,-0.4939,negative
contact cleangeosphere manage muncipal solid waste efficientlyvisit link bio18004199793,India,2022,August,"['contact', 'cleangeosphere', 'manage', 'muncipal', 'solid', 'waste', 'efficientlyvisit', 'link', 'bio18004199793']",0.246,0.614,0.14,-0.296,neutral
