content,place,year,month,content_token
one car year nothing using electricity write dumb tweets cars atleast tweets causing headache ppl,africa,2022,August,"['one', 'car', 'year', 'nothing', 'using', 'electricity', 'write', 'dumb', 'tweets', 'cars', 'atleast', 'tweets', 'causing', 'headache', 'ppl']"
stopppppp stop ittttttt,africa,2022,August,"['stopppppp', 'stop', 'ittttttt']"
need stop grow become old man working bodega full cats,africa,2022,August,"['need', 'stop', 'grow', 'become', 'old', 'man', 'working', 'bodega', 'full', 'cats']"
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']"
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']"
,africa,2022,August,[]
last hiked rwenzoris guide told looking open rocks years back covered snow led snow started reducing rapidly mean great mountain,africa,2022,August,"['last', 'hiked', 'rwenzoris', 'guide', 'told', 'looking', 'open', 'rocks', 'years', 'back', 'covered', 'snow', 'led', 'snow', 'started', 'reducing', 'rapidly', 'mean', 'great', 'mountain']"
anyone else think strange suspicious new campaign nato lots really bad strange weather related disasters happening globe weather manipulation,africa,2022,August,"['anyone', 'else', 'think', 'strange', 'suspicious', 'new', 'campaign', 'nato', 'lots', 'really', 'bad', 'strange', 'weather', 'related', 'disasters', 'happening', 'globe', 'weather', 'manipulation']"
wan dey cause,africa,2022,August,"['wan', 'dey', 'cause']"
also cited another factor heavy downpour experienced august points impact consequence,africa,2022,August,"['also', 'cited', 'another', 'factor', 'heavy', 'downpour', 'experienced', 'august', 'points', 'impact', 'consequence']"
better worldethiopia would deserved rewards better reduce impacts crisis country ethiopia planted 25 billions oppose since 2019 reward would motivate world,africa,2022,August,"['better', 'worldethiopia', 'would', 'deserved', 'rewards', 'better', 'reduce', 'impacts', 'crisis', 'country', 'ethiopia', 'planted', '25', 'billions', 'oppose', 'since', '2019', 'reward', 'would', 'motivate', 'world']"
warmingthe ice sheet gained 7 gigatons mass one day yesterday largest daily gain ever recorded summer,africa,2022,August,"['warmingthe', 'ice', 'sheet', 'gained', '7', 'gigatons', 'mass', 'one', 'day', 'yesterday', 'largest', 'daily', 'gain', 'ever', 'recorded', 'summer']"
nm btw solve,africa,2022,August,"['nm', 'btw', 'solve']"
namasteh oh mythats newnow enjoy hot cup coffeeyou saved penguins,africa,2022,August,"['namasteh', 'oh', 'mythats', 'newnow', 'enjoy', 'hot', 'cup', 'coffeeyou', 'saved', 'penguins']"
idiot 1000s people dying pakistan floods people dying african draught weather failure result,africa,2022,August,"['idiot', '1000s', 'people', 'dying', 'pakistan', 'floods', 'people', 'dying', 'african', 'draught', 'weather', 'failure', 'result']"
extreme floods witnessing today direct result real,africa,2022,August,"['extreme', 'floods', 'witnessing', 'today', 'direct', 'result', 'real']"
everyone tweet make trend no1 declared,africa,2022,August,"['everyone', 'tweet', 'make', 'trend', 'no1', 'declared']"
hate recent events wake call everyone turning point people listening idiots like mtg good currently prius work homenot driving much cont,africa,2022,August,"['hate', 'recent', 'events', 'wake', 'call', 'everyone', 'turning', 'point', 'people', 'listening', 'idiots', 'like', 'mtg', 'good', 'currently', 'prius', 'work', 'homenot', 'driving', 'much', 'cont']"
